LISTA DE MATERIAIS - PISOS;;;;;;
MATERIAL;CUSTO UNITARIO;VOLUME;ÁREA;FORNECEDOR;CÓDIGO/MODELO;PAVIMENTO
;;;;;;
;$0,00;0,00 m?;8,05 m?;;;#NOME?
;$0,00;0,00 m?;6,92 m?;;;#NOME?
;$0,00;8,90 m?;360,48 m?;;;00 - Térreo IU
;$0,00;0,25 m?;83,33 m?;;;01 - Primeiro Pavimento
;$0,00;0,25 m?;83,33 m?;;;02-Segundo Pavimento
;$0,00;0,25 m?;83,33 m?;;;03- Terceiro Pavimento
;$0,00;0,25 m?;83,33 m?;;;04- Quarto Pavimento
: 30;;9,90 m?;708,79 m?;;;
Argamassa;$230,00;13,94 m?;277,22 m?;;;01 - Primeiro Pavimento
Argamassa;$230,00;13,94 m?;277,22 m?;;;02-Segundo Pavimento
Argamassa;$230,00;13,94 m?;277,22 m?;;;03- Terceiro Pavimento
Argamassa;$230,00;13,94 m?;277,22 m?;;;04- Quarto Pavimento
Argamassa: 40;;55,78 m?;1108,90 m?;;;
concreto usinado;$250,00;40,75 m?;407,54 m?;;;#NOME?
concreto usinado;$250,00;40,64 m?;406,40 m?;;;#NOME?
concreto usinado;$250,00;40,77 m?;407,75 m?;;;00 - Térreo IU
concreto usinado;$250,00;40,68 m?;406,79 m?;;;05- Quinto Pavimento
concreto usinado: 8;;162,85 m?;1628,48 m?;;;
Manta  isolamento laminado;$3,00;0,39 m?;193,89 m?;;;01 - Primeiro Pavimento
Manta  isolamento laminado;$3,00;0,39 m?;193,89 m?;;;02-Segundo Pavimento
Manta  isolamento laminado;$3,00;0,39 m?;193,89 m?;;;03- Terceiro Pavimento
Manta  isolamento laminado;$3,00;0,39 m?;193,89 m?;;;04- Quarto Pavimento
Manta  isolamento laminado: 16;;1,55 m?;775,56 m?;;;
Piso Ceramico 30x30;$22,00;0,42 m?;83,33 m?;Portobello;CV - 5579;01 - Primeiro Pavimento
Piso Ceramico 30x30;$22,00;0,42 m?;83,33 m?;Portobello;CV - 5579;02-Segundo Pavimento
Piso Ceramico 30x30;$22,00;0,42 m?;83,33 m?;Portobello;CV - 5579;03- Terceiro Pavimento
Piso Ceramico 30x30;$22,00;0,42 m?;83,33 m?;Portobello;CV - 5579;04- Quarto Pavimento
Piso Ceramico 30x30: 24;;1,67 m?;333,34 m?;;;
Piso laminado escuro;$57,00;1,36 m?;193,89 m?;Lamiflor;LF - 0990;01 - Primeiro Pavimento
Piso laminado escuro;$57,00;1,36 m?;193,89 m?;Lamiflor;LF - 0990;02-Segundo Pavimento
Piso laminado escuro;$57,00;1,36 m?;193,89 m?;Lamiflor;LF - 0990;03- Terceiro Pavimento
Piso laminado escuro;$57,00;1,36 m?;193,89 m?;Lamiflor;LF - 0990;04- Quarto Pavimento
Piso laminado escuro: 16;;5,43 m?;775,56 m?;;;
Reboco fino;$8,00;0,00 m?;431,09 m?;;;05- Quinto Pavimento
Reboco fino: 2;;0,00 m?;431,09 m?;;;
Total geral: 136;;237,17 m?;5761,71 m?;;;
